SA2_CODE_2021,Ot_ty_Ed_Ins_Ft_st_C11_P,Ot_ty_Ed_Ins_Ft_st_C16_M,Ot_ty_Ed_Ins_Ft_st_C16_F,Ot_ty_Ed_Ins_Ft_st_C16_P,Ot_ty_Ed_Ins_Ft_st_C21_M,Ot_ty_Ed_Ins_Ft_st_C21_F,Ot_ty_Ed_Ins_Ft_st_C21_P,Ot_ty_Ed_Ins_Pt_st_C11_M,Ot_ty_Ed_Ins_Pt_st_C11_F,Ot_ty_Ed_Ins_Pt_st_C11_P,Ot_ty_Ed_Ins_Pt_st_C16_M,Ot_ty_Ed_Ins_Pt_st_C16_F,Ot_ty_Ed_Ins_Pt_st_C16_P,Ot_ty_Ed_Ins_Pt_st_C21_M,Ot_ty_Ed_Ins_Pt_st_C21_F,Ot_ty_Ed_Ins_Pt_st_C21_P,O_t_E_I_F_P_s_s_ns_C11_M,O_t_E_I_F_P_s_s_ns_C11_F,O_t_E_I_F_P_s_s_ns_C11_P,O_t_E_I_F_P_s_s_ns_C16_M,O_t_E_I_F_P_s_s_ns_C16_F,O_t_E_I_F_P_s_s_ns_C16_P,O_t_E_I_F_P_s_s_ns_C21_M,O_t_E_I_F_P_s_s_ns_C21_F,O_t_E_I_F_P_s_s_ns_C21_P,Oth_ty_Edu_Ins_Tot_C11_M,Oth_ty_Edu_Ins_Tot_C11_F,Oth_ty_Edu_Ins_Tot_C11_P,Oth_ty_Edu_Ins_Tot_C16_M,Oth_ty_Edu_Ins_Tot_C16_F,Oth_ty_Edu_Ins_Tot_C16_P,Oth_ty_Edu_Ins_Tot_C21_M,Oth_ty_Edu_Ins_Tot_C21_F,Oth_ty_Edu_Ins_Tot_C21_P,Type_Educ_Insti_ns_C11_M,Type_Educ_Insti_ns_C11_F,Type_Educ_Insti_ns_C11_P,Type_Educ_Insti_ns_C16_M,Type_Educ_Insti_ns_C16_F,Type_Educ_Insti_ns_C16_P,Type_Educ_Insti_ns_C21_M,Type_Educ_Insti_ns_C21_F,Type_Educ_Insti_ns_C21_P,Tot_C11_M,Tot_C11_F,Tot_C11_P,Tot_C16_M,Tot_C16_F,Tot_C16_P,Tot_C21_M,Tot_C21_F,Tot_C21_P
801091099,6,4,0,6,4,12,20,4,5,11,9,11,22,12,11,24,0,0,0,0,0,0,0,0,0,9,15,22,9,10,24,19,21,43,51,45,96,64,57,123,39,38,77,362,346,713,365,351,720,379,391,773
801091100,4,3,4,9,10,5,20,12,20,26,5,8,11,14,16,31,0,0,0,0,0,0,0,0,0,11,21,35,13,6,20,28,19,53,90,90,179,124,115,236,66,76,141,734,788,1525,798,810,1608,871,868,1739
801091101,0,0,0,0,7,3,14,0,13,11,4,9,15,13,12,30,0,0,0,0,0,0,0,0,0,0,15,15,4,16,17,22,17,39,67,57,125,56,64,121,83,74,162,490,488,981,520,455,973,611,554,1167
801091102,16,6,0,6,7,7,11,3,9,17,3,8,11,9,12,18,0,3,3,0,0,0,0,0,0,15,16,32,9,8,16,17,18,33,52,53,107,163,133,293,78,90,171,475,483,959,631,571,1200,600,630,1222
801091103,3,0,6,3,5,7,8,3,8,11,8,16,18,6,11,19,0,0,0,0,0,0,0,0,0,8,8,19,7,12,18,12,13,29,71,82,152,97,106,198,40,58,97,440,451,891,488,488,972,477,517,996
801091104,3,0,5,10,0,5,0,12,4,17,5,4,12,6,5,7,0,0,0,0,0,0,0,0,0,14,11,23,10,12,23,5,7,13,47,43,87,39,49,85,39,32,67,334,335,672,297,320,621,310,296,602
801091105,3,8,6,12,7,7,16,3,6,14,13,9,19,11,21,34,0,0,0,0,0,0,0,0,0,6,8,15,15,16,32,21,36,54,118,72,192,141,118,261,68,67,137,439,374,817,510,479,988,474,499,971
801091106,9,5,5,9,8,10,20,12,10,17,10,16,27,11,10,22,0,0,3,0,0,0,0,0,0,18,15,28,12,19,30,14,23,38,88,59,145,81,85,160,74,66,141,440,402,839,462,486,948,519,525,1041
801091107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,3,8,8,17,40,36,75,16,13,34,124,129,252,176,169,347,115,139,256
801091108,0,5,0,8,13,3,11,7,3,11,0,7,5,10,11,20,0,0,0,0,0,0,0,0,0,9,3,19,7,8,18,24,15,32,50,46,101,74,68,140,35,42,79,389,379,768,427,369,797,438,377,811
801091109,11,6,6,12,12,11,23,11,14,21,4,17,23,26,38,68,0,0,0,0,0,0,0,0,0,12,10,29,13,19,36,40,57,96,62,47,107,129,121,250,135,93,226,233,271,499,404,415,817,622,720,1350
801091110,0,0,0,3,0,0,9,5,12,13,5,5,6,6,13,18,0,0,0,0,0,0,0,0,0,5,7,17,4,5,14,11,14,24,57,40,96,50,43,86,48,42,90,367,337,708,367,361,728,394,388,788
801101134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,5,0,0,0,0,5,6,0,0,5
801101135,0,4,5,4,12,20,31,0,0,0,0,9,15,16,34,46,0,0,0,0,0,0,0,0,0,0,0,0,7,13,17,27,51,75,0,0,0,66,71,136,82,77,155,0,0,0,318,310,629,836,871,1708
801101136,0,0,0,0,13,5,13,0,0,0,0,0,0,12,11,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,22,42,0,0,0,0,0,0,30,42,74,0,0,0,0,0,0,466,464,935
801101137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801101139,0,0,0,5,12,7,20,0,0,0,4,9,20,12,22,31,0,0,0,0,0,0,0,0,0,0,0,0,9,12,19,21,28,51,0,0,0,85,98,180,66,65,131,0,0,0,388,442,833,589,687,1272
801101145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,4
801101146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3
801111140,3,0,4,8,0,4,0,0,0,0,0,3,4,0,3,3,0,0,0,0,0,0,0,0,0,5,4,10,4,9,10,0,4,4,20,16,34,25,28,50,15,19,30,94,81,179,100,105,200,100,92,188
801111141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,4,3,5,7,5,12,3,9,8,9,7,19,16,10,27
897979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899999499,6,0,3,3,0,0,0,0,0,0,0,3,3,3,6,5,0,0,0,0,0,0,0,0,0,10,3,12,0,7,7,3,6,4,44,19,68,76,26,106,97,36,131,116,80,193,123,86,206,148,104,248
