SA2_CODE_2021,C21_1500_1999_R100_149,C21_1500_1999_R150_199,C21_1500_1999_R200_224,C21_1500_1999_R225_274,C21_1500_1999_R275_349,C21_1500_1999_R350_449,C21_1500_1999_R450_549,C21_1500_1999_R550_649,C21_1500_1999_R650more,C21_1500_1999_R_NS,C21_1500_1999_R_Tot,C21_2000_2499_R1_74,C21_2000_2499_R75_99,C21_2000_2499_R100_149,C21_2000_2499_R150_199,C21_2000_2499_R200_224,C21_2000_2499_R225_274,C21_2000_2499_R275_349,C21_2000_2499_R350_449,C21_2000_2499_R450_549,C21_2000_2499_R550_649,C21_2000_2499_R650more,C21_2000_2499_R_NS,C21_2000_2499_R_Tot,C21_2500_2999_R1_74,C21_2500_2999_R75_99,C21_2500_2999_R100_149,C21_2500_2999_R150_199,C21_2500_2999_R200_224,C21_2500_2999_R225_274,C21_2500_2999_R275_349,C21_2500_2999_R350_449,C21_2500_2999_R450_549,C21_2500_2999_R550_649,C21_2500_2999_R650more,C21_2500_2999_R_NS,C21_2500_2999_R_Tot,C21_3000_3999_R1_74,C21_3000_3999_R75_99,C21_3000_3999_R100_149,C21_3000_3999_R150_199,C21_3000_3999_R200_224,C21_3000_3999_R225_274,C21_3000_3999_R275_349,C21_3000_3999_R350_449,C21_3000_3999_R450_549,C21_3000_3999_R550_649,C21_3000_3999_R650more,C21_3000_3999_R_NS,C21_3000_3999_R_Tot,C21_4000more_R1_74,C21_4000more_R75_99,C21_4000more_R100_149,C21_4000more_R150_199,C21_4000more_R200_224,C21_4000more_R225_274,C21_4000more_R275_349,C21_4000more_R350_449,C21_4000more_R450_549,C21_4000more_R550_649,C21_4000more_R650more,C21_4000more_R_NS,C21_4000more_R_Tot,C21_PI_S_R1_74,C21_PI_S_R75_99,C21_PI_S_R100_149,C21_PI_S_R150_199,C21_PI_S_R200_224,C21_PI_S_R225_274,C21_PI_S_R275_349,C21_PI_S_R350_449,C21_PI_S_R450_549,C21_PI_S_R550_649,C21_PI_S_R650more,C21_PI_S_R_NS,C21_PI_S_R_Tot,C21_AI_NS_R1_74,C21_AI_NS_R75_99,C21_AI_NS_R100_149,C21_AI_NS_R150_199,C21_AI_NS_R200_224,C21_AI_NS_R225_274,C21_AI_NS_R275_349,C21_AI_NS_R350_449,C21_AI_NS_R450_549,C21_AI_NS_R550_649,C21_AI_NS_R650more,C21_AI_NS_R_NS,C21_AI_NS_R_Tot,C21_Tot_R1_74,C21_Tot_R75_99,C21_Tot_R100_149,C21_Tot_R150_199,C21_Tot_R200_224,C21_Tot_R225_274,C21_Tot_R275_349,C21_Tot_R350_449,C21_Tot_R450_549,C21_Tot_R550_649,C21_Tot_R650more,C21_Tot_R_NS,C21_Tot_R_Tot
801081133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801091099,0,0,0,3,3,8,9,0,0,0,32,0,0,0,0,0,0,3,13,13,8,5,0,47,0,0,0,0,0,0,0,10,5,6,6,3,36,0,0,0,0,0,0,0,6,10,13,13,0,44,0,0,0,0,0,0,0,5,14,10,28,3,65,0,0,0,0,0,0,4,4,4,6,3,0,19,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,19,14,14,16,29,70,63,45,58,12,343
801091100,0,6,0,6,15,26,17,5,3,4,73,0,0,0,0,0,0,5,20,8,9,8,0,56,0,0,0,0,0,0,3,12,9,15,3,0,35,0,0,0,0,0,0,4,16,19,9,17,0,62,0,0,0,0,4,0,5,9,9,23,41,0,99,0,0,0,0,0,0,0,0,5,7,8,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,32,18,13,12,54,99,79,78,92,15,502
801091101,0,0,0,0,7,12,9,3,4,0,35,0,0,0,0,0,0,0,8,9,5,3,0,30,0,0,0,0,0,0,0,3,6,3,4,4,20,0,0,0,0,0,3,0,0,5,4,8,0,27,0,0,0,0,0,0,0,3,4,8,15,0,33,0,0,0,0,0,0,0,0,0,0,3,0,8,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,19,12,5,8,15,43,49,21,43,8,222
801091102,0,3,0,0,3,4,17,12,4,0,37,0,0,0,0,0,0,11,5,9,23,4,7,54,0,0,0,0,0,3,0,4,8,13,8,0,29,0,0,0,0,0,0,4,3,18,23,13,3,58,0,0,0,0,0,0,3,0,13,30,34,0,88,0,0,0,0,0,0,5,0,0,4,7,0,18,0,0,5,0,0,0,0,0,0,0,0,0,6,0,0,31,9,4,8,22,28,74,116,75,15,382
801091103,0,0,0,4,10,3,4,0,3,0,30,0,0,0,0,0,0,3,10,5,4,0,0,26,0,0,0,0,0,0,0,8,0,3,4,0,19,0,0,0,0,0,0,0,3,4,13,7,0,30,0,0,0,0,0,0,5,5,8,4,24,0,50,0,0,0,0,0,0,6,0,4,3,8,0,15,0,0,0,0,0,0,0,0,0,0,4,0,4,3,7,25,17,5,11,43,40,36,33,44,4,275
801091104,0,0,0,0,0,3,10,3,0,0,18,0,0,0,0,0,0,0,0,4,0,8,0,16,0,0,0,0,0,0,0,0,8,3,4,0,17,0,0,0,0,0,0,0,0,11,3,9,0,24,0,0,0,0,0,0,0,0,7,10,19,0,32,0,0,0,0,0,0,0,0,0,3,4,0,13,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,16,3,0,5,6,11,42,28,43,10,158
801091105,0,3,0,5,18,37,8,5,4,0,89,0,0,0,0,0,3,23,28,15,9,8,4,90,0,0,0,0,0,3,13,10,15,0,0,0,48,0,0,0,0,0,0,6,10,17,21,7,0,64,0,0,0,0,0,0,4,3,8,15,23,0,56,0,0,0,0,0,0,0,0,3,4,0,4,23,0,0,0,0,0,0,0,0,4,0,0,4,5,5,5,31,18,7,29,125,132,89,59,44,22,576
801091106,0,0,0,0,15,31,15,11,0,0,77,0,0,0,0,0,4,18,22,15,10,9,3,77,0,0,0,0,0,0,0,18,12,3,4,3,41,0,0,3,0,0,3,3,14,14,12,7,0,55,0,0,0,0,0,0,4,6,12,12,21,0,55,0,0,0,0,0,0,0,0,4,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,44,22,12,18,74,121,87,44,54,18,494
801091107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,13,0,13,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,36
