SA2_CODE_2021,C21_75_99_CF_CU15_NDS,C21_75_99_CF_NCU15_DS,C21_75_99_CF_NDCO,C21_75_99_Tot,C21_100_149_CF_NC,C21_100_149_CF_Cu15DS_,C21_100_149_CF_CU15_NDS,C21_100_149_CF_NCU15_DS,C21_100_149_CF_NDCO,C21_100_149_Tot,C21_150_199_CF_NC,C21_150_199_CF_Cu15DS_,C21_150_199_CF_CU15_NDS,C21_150_199_CF_NCU15_DS,C21_150_199_CF_NDCO,C21_150_199_Tot,C21_200_224_CF_NC,C21_200_224_CF_Cu15DS_,C21_200_224_CF_CU15_NDS,C21_200_224_CF_NCU15_DS,C21_200_224_CF_NDCO,C21_200_224_Tot,C21_225_274_CF_NC,C21_225_274_CF_Cu15DS_,C21_225_274_CF_CU15_NDS,C21_225_274_CF_NCU15_DS,C21_225_274_CF_NDCO,C21_225_274_Tot,C21_275_349_CF_NC,C21_275_349_CF_Cu15DS_,C21_275_349_CF_CU15_NDS,C21_275_349_CF_NCU15_DS,C21_275_349_CF_NDCO,C21_275_349_Tot,C21_350_449_CF_NC,C21_350_449_CF_Cu15DS_,C21_350_449_CF_CU15_NDS,C21_350_449_CF_NCU15_DS,C21_350_449_CF_NDCO,C21_350_449_Tot,C21_450_549_CF_NC,C21_450_549_CF_Cu15DS_,C21_450_549_CF_CU15_NDS,C21_450_549_CF_NCU15_DS,C21_450_549_CF_NDCO,C21_450_549_Tot,C21_550_649_CF_NC,C21_550_649_CF_Cu15DS_,C21_550_649_CF_CU15_NDS,C21_550_649_CF_NCU15_DS,C21_550_649_CF_NDCO,C21_550_649_Tot,C21_650_749_CF_NC,C21_650_749_CF_Cu15DS_,C21_650_749_CF_CU15_NDS,C21_650_749_CF_NCU15_DS,C21_650_749_CF_NDCO,C21_650_749_Tot,C21_750_849_CF_NC,C21_750_849_CF_Cu15DS_,C21_750_849_CF_CU15_NDS,C21_750_849_CF_NCU15_DS,C21_750_849_CF_NDCO,C21_750_849_Tot,C21_850_949_CF_NC,C21_850_949_CF_Cu15DS_,C21_850_949_CF_CU15_NDS,C21_850_949_CF_NCU15_DS,C21_850_949_CF_NDCO,C21_850_949_Tot,C21_950over_CF_NC,C21_950over_CF_Cu15DS_,C21_950over_CF_CU15_NDS,C21_950over_CF_NCU15_DS,C21_950over_CF_NDCO,C21_950over_Tot,C21_Rns_CF_NC,C21_Rns_CF_Cu15DS_,C21_Rns_CF_CU15_NDS,C21_Rns_CF_NCU15_DS,C21_Rns_CF_NDCO,C21_Rns_Tot,C21_Tot_CF_NC,C21_Tot_CF_Cu15DS_,C21_Tot_CF_CU15_NDS,C21_Tot_CF_NCU15_DS,C21_Tot_CF_NDCO,C21_Tot_Tot
801071074,0,0,0,0,0,0,3,0,0,3,6,0,0,0,4,9,0,0,0,0,0,4,3,0,0,0,0,3,5,0,3,0,0,8,11,3,10,4,6,24,19,3,23,5,3,49,9,0,12,3,0,29,4,0,5,0,0,13,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,62,13,61,10,8,147
801071075,0,0,0,0,0,0,4,0,0,3,4,0,0,0,0,7,0,0,3,0,0,4,3,0,0,0,0,8,4,0,7,5,0,14,7,0,17,0,0,32,17,0,15,0,0,31,3,0,9,0,0,14,5,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,49,8,55,7,9,131
801071076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,5,3,11,0,4,3,5,0,14,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,14,6,4,40
801071077,0,0,0,0,0,0,0,3,0,6,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,3,8,0,3,0,0,11,4,3,7,0,0,15,7,0,22,0,0,27,7,4,16,3,0,28,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,31,10,44,7,8,104
801071078,0,0,0,0,4,0,3,0,0,9,4,0,3,0,0,9,3,0,0,0,0,4,0,0,6,0,0,9,3,0,8,0,0,16,31,3,29,3,6,66,25,4,50,0,10,89,12,4,17,4,0,36,4,0,8,0,0,11,0,0,3,0,0,4,0,3,0,0,0,3,0,0,0,0,0,0,0,0,5,0,3,9,84,17,128,13,15,257
801071079,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,4,0,6,0,0,8,6,0,12,0,3,24,4,0,6,0,6,18,5,3,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,12,32,4,9,74
801071080,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,7,60,0,21,0,0,88,81,0,46,4,0,137,28,3,20,3,0,51,5,0,7,5,0,15,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,0,8,190,3,112,7,5,327
801071081,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,4,0,0,8,6,0,0,0,0,8,4,0,0,0,0,9,17,0,22,3,4,45,22,3,32,3,5,70,10,0,11,0,0,27,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,58,11,84,11,14,178
801071082,0,0,0,4,0,0,9,0,0,16,20,3,7,8,3,37,14,0,7,0,0,15,13,0,3,0,3,18,12,3,11,4,0,19,45,4,27,9,9,94,66,8,65,3,4,147,30,11,36,0,5,82,3,4,18,0,5,34,0,0,4,5,3,9,0,0,3,0,0,4,0,0,0,0,0,5,5,0,8,0,0,7,213,39,186,20,34,492
801071083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,14,0,0,3,0,0,11,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,14,3,0,32
