SA2_CODE_2021,C21_75_79_Div_P,C21_75_79_Wid_M,C21_75_79_Wid_F,C21_75_79_Wid_P,C21_75_79_Nvr_marrd_M,C21_75_79_Nvr_marrd_F,C21_75_79_Nvr_marrd_P,C21_75_79_Tot_M,C21_75_79_Tot_F,C21_75_79_Tot_P,C21_80_84_Married_M,C21_80_84_Married_F,C21_80_84_Married_P,C21_80_84_Sep_M,C21_80_84_Sep_F,C21_80_84_Sep_P,C21_80_84_Div_M,C21_80_84_Div_F,C21_80_84_Div_P,C21_80_84_Wid_M,C21_80_84_Wid_F,C21_80_84_Wid_P,C21_80_84_Nvr_marrd_M,C21_80_84_Nvr_marrd_F,C21_80_84_Nvr_marrd_P,C21_80_84_Tot_M,C21_80_84_Tot_F,C21_80_84_Tot_P,C21_85_over_Married_M,C21_85_over_Married_F,C21_85_over_Married_P,C21_85_over_Seprtd_M,C21_85_over_Seprtd_F,C21_85_over_Seprtd_P,C21_85_over_Divorce_M,C21_85_over_Divorce_F,C21_85_over_Divorce_P,C21_85_over_Wid_M,C21_85_over_Wid_F,C21_85_over_Wid_P,C21_85_over_Nvr_mard_M,C21_85_over_Nvr_mard_F,C21_85_over_Nvr_mard_P,C21_85_over_Tot_M,C21_85_over_Tot_F,C21_85_over_Tot_P,C21_Tot_Married_M,C21_Tot_Married_F,C21_Tot_Married_P,C21_Tot_Sep_M,C21_Tot_Sep_F,C21_Tot_Sep_P,C21_Tot_Div_M,C21_Tot_Div_F,C21_Tot_Div_P,C21_Tot_Wid_M,C21_Tot_Wid_F,C21_Tot_Wid_P,C21_Tot_nver_marrie_M,C21_Tot_nver_marrie_F,C21_Tot_nver_marrie_P,C21_Tot_Tot_M,C21_Tot_Tot_F,C21_Tot_Tot_P
801041117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801041118,0,0,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,133,260,4,15,19,3,25,30,0,7,7,85,84,171,224,272,492
801041119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,0,0,0,0,0,9,0,12,10,3,16
801041120,0,0,3,0,0,0,0,14,9,16,0,0,4,0,0,0,0,0,0,5,3,4,0,0,0,3,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1137,1144,2283,23,37,61,68,100,163,7,39,48,628,533,1165,1855,1853,3713
801041121,0,0,4,5,0,0,0,0,7,9,0,3,5,0,0,0,0,0,0,0,7,7,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,514,513,1022,10,14,27,24,47,68,3,35,40,215,204,424,774,809,1582
801041122,0,0,0,0,0,0,0,8,4,10,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,574,557,1131,15,18,33,27,42,69,3,11,19,243,202,443,855,834,1687
801051049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,25,46,4,0,4,4,0,5,3,0,3,1247,1543,2794,1279,1566,2844
801051050,33,4,27,30,15,8,20,85,100,178,32,35,67,0,0,0,7,16,17,16,41,51,0,0,0,51,86,133,45,22,67,3,6,6,7,15,21,43,106,151,4,4,10,99,154,250,908,908,1808,45,57,101,162,263,424,76,223,299,880,970,1852,2071,2415,4481
801051051,19,0,14,13,7,0,10,40,36,71,14,11,21,0,0,0,5,10,13,4,6,13,0,0,4,23,33,53,10,7,15,0,0,0,0,3,3,4,18,22,0,3,3,13,29,46,662,619,1280,53,75,131,181,198,380,15,53,74,2110,2072,4186,3025,3027,6051
801051053,6,6,11,14,0,0,0,23,20,49,4,3,13,0,0,0,0,3,3,4,3,4,0,0,0,8,15,20,3,0,3,0,0,0,0,3,3,9,7,5,0,0,0,10,8,23,494,471,964,42,28,68,98,109,207,20,38,54,1694,1698,3398,2342,2343,4686
801051054,13,4,0,8,0,0,9,29,16,48,4,9,19,0,0,0,3,0,3,0,9,11,0,4,6,7,23,31,11,3,13,0,0,0,0,0,0,5,16,20,0,0,0,19,22,35,432,434,862,31,37,66,89,95,185,17,46,65,820,872,1693,1381,1484,2863
801051055,12,4,19,28,8,5,14,42,56,104,18,20,34,0,0,0,0,4,9,3,22,25,4,4,3,24,52,76,19,9,26,0,0,0,3,9,6,10,31,39,0,3,3,31,46,74,740,723,1466,49,65,111,95,142,241,32,115,142,779,790,1572,1692,1843,3530
801051056,20,4,8,9,3,6,10,36,51,83,31,20,47,0,0,6,0,10,10,0,20,26,0,0,0,30,54,85,24,10,35,3,0,3,0,4,6,11,26,41,3,3,3,42,51,87,585,608,1189,33,26,62,63,103,162,26,95,116,495,524,1015,1202,1352,2556
801051057,28,4,31,37,9,8,7,81,89,169,26,26,50,0,0,0,3,5,12,0,53,50,4,0,4,41,83,113,34,27,59,0,0,0,4,18,25,33,95,126,0,0,0,68,140,212,862,840,1702,53,59,117,170,259,428,50,220,271,1259,1284,2540,2387,2666,5053
801051058,36,0,14,16,6,6,14,57,68,120,24,15,42,0,0,0,0,4,8,9,18,19,0,3,0,32,40,76,23,17,36,0,0,0,0,7,11,13,30,44,0,0,3,38,52,89,967,947,1918,53,45,98,132,234,362,32,122,157,1256,1212,2471,2442,2561,5002
801051060,13,0,9,10,3,4,5,35,47,84,15,5,20,0,3,6,0,3,10,0,13,14,0,0,3,19,31,49,8,3,13,0,0,0,4,0,3,3,16,22,3,0,4,15,25,43,584,578,1166,28,31,59,108,163,270,16,69,83,1209,1333,2541,1947,2176,4124
801051061,19,6,17,18,3,3,5,42,66,105,31,21,51,4,0,4,0,7,15,4,27,37,0,3,3,43,63,103,19,7,26,0,0,0,6,5,14,6,23,35,0,0,0,36,37,74,1133,1143,2278,64,83,144,188,262,448,32,109,140,1146,1230,2381,2551,2839,5388
801051123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051124,24,11,6,15,4,6,9,72,62,132,23,27,52,3,0,5,3,5,7,4,26,28,0,3,6,33,65,95,24,21,45,3,0,3,0,5,5,10,48,55,0,3,3,42,78,115,870,873,1740,54,35,94,104,130,238,25,120,154,978,806,1784,2034,1967,4004
801051125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,101,214,3,0,6,12,12,19,5,0,3,1157,459,1619,1290,573,1857
801051126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051127,11,0,13,10,0,5,7,26,37,65,9,5,17,0,0,4,0,0,0,3,3,7,0,3,3,19,10,30,0,0,0,0,0,0,0,0,0,4,11,16,0,0,0,9,14,18,278,259,535,15,19,37,48,59,109,9,37,48,410,293,694,752,666,1425
801051128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801061062,9,5,34,36,0,0,6,73,85,155,30,25,47,0,4,4,0,3,8,11,34,43,0,0,3,37,66,104,27,18,49,0,0,0,0,8,3,21,62,81,0,5,5,56,88,141,713,723,1433,24,18,43,69,99,168,43,163,202,338,412,749,1184,1415,2596
801061063,7,3,12,17,3,0,4,49,54,98,18,8,27,0,0,0,0,0,0,0,17,21,0,0,0,17,25,46,15,4,20,0,0,0,0,0,0,0,14,18,0,0,0,16,23,36,436,429,866,15,27,43,40,64,103,8,60,70,270,275,542,765,856,1625
801061064,17,4,20,31,0,4,0,80,82,161,30,24,55,0,0,0,0,3,6,6,28,32,0,0,5,41,63,101,27,18,49,0,0,0,0,7,7,13,79,91,6,10,12,44,113,157,1005,987,1994,67,54,119,155,213,368,33,170,202,1007,941,1951,2268,2370,4639
