SA2_CODE_2021,C21_650_799_CF_1C,C21_650_799_CF_2C,C21_650_799_CF_3C,C21_650_799_CF_4mC,C21_650_799_Tot,C21_800_999_CF_1C,C21_800_999_CF_2C,C21_800_999_CF_3C,C21_800_999_CF_4mC,C21_800_999_Tot,C21_1000_1499_CF_1C,C21_1000_1499_CF_2C,C21_1000_1499_CF_3C,C21_1000_1499_CF_4mC,C21_1000_1499_Tot,C21_1500_1999_CF_1C,C21_1500_1999_CF_2C,C21_1500_1999_CF_3C,C21_1500_1999_CF_4mC,C21_1500_1999_Tot,C21_2000_2499_CF_1C,C21_2000_2499_CF_2C,C21_2000_2499_CF_3C,C21_2000_2499_CF_4mC,C21_2000_2499_Tot,C21_2500_2999_CF_1C,C21_2500_2999_CF_2C,C21_2500_2999_CF_3C,C21_2500_2999_CF_4mC,C21_2500_2999_Tot,C21_3000_3999_CF_1C,C21_3000_3999_CF_2C,C21_3000_3999_CF_3C,C21_3000_3999_CF_4mC,C21_3000_3999_Tot,C21_4000more_CF_1C,C21_4000more_CF_2C,C21_4000more_CF_3C,C21_4000more_Cou_fa_4mo_ch,C21_4000more_Tot,C21_Par_inc_st_CF_1C,C21_Par_inc_st_CF_2C,C21_Par_inc_st_CF_3C,C21_Par_inc_st_CF_4mC,C21_Par_inc_st_Tot,C21_All_inc_ns_CF_1Ch,C21_All_inc_ns_CF_2C,C21_All_inc_ns_CF_3C,C21_All_inc_ns_CF_4mC,C21_All_inc_ns_Tot,C21_Tot_CF_1C,C21_Tot_CF_2C,C21_Tot_CF_3C,C21_Tot_CF_4mC,C21_Tot_Tot
801051050,4,0,0,0,4,0,4,0,0,4,7,6,4,0,12,13,8,0,0,19,11,8,5,0,24,11,18,0,0,31,35,44,8,0,87,114,178,67,11,372,13,25,5,0,51,0,0,0,0,0,209,292,86,16,604
801051051,4,0,0,0,3,0,0,0,0,0,12,3,0,0,16,11,4,0,0,15,12,5,0,0,14,12,3,0,0,15,30,10,7,0,44,68,40,5,0,112,3,0,3,0,8,0,0,0,0,0,144,75,17,4,233
801051053,0,0,0,0,0,0,0,0,0,0,7,0,0,0,8,7,4,0,0,8,3,0,0,0,9,5,0,0,0,3,12,6,0,0,19,29,9,0,0,38,9,6,0,0,12,6,0,0,0,5,73,26,0,0,102
801051054,0,0,0,0,6,5,0,0,0,5,7,3,0,3,12,11,3,0,0,12,8,6,0,4,18,11,8,0,0,21,20,22,0,0,50,48,52,13,3,118,3,5,4,0,12,0,0,0,0,0,109,105,24,6,254
801051055,0,0,0,0,0,9,0,0,0,7,8,8,0,0,18,14,10,0,3,33,20,20,0,0,47,16,16,3,0,39,42,47,14,0,103,65,100,23,4,198,5,11,3,0,25,0,0,0,0,0,188,222,52,16,474
801051056,0,0,0,0,0,0,0,0,0,0,5,3,0,0,7,10,6,0,0,21,8,5,6,0,18,8,11,0,0,23,27,47,14,0,91,58,137,51,8,256,11,5,0,0,21,0,0,0,0,0,127,229,75,12,444
801051057,4,3,0,0,3,4,6,0,0,6,8,9,0,0,19,16,14,0,3,32,21,17,0,0,42,20,23,6,0,41,41,45,3,0,86,67,78,19,0,163,6,11,0,3,20,0,0,0,0,0,189,199,33,3,429
801051058,4,0,0,0,4,0,0,0,0,5,12,5,0,0,15,7,8,3,0,15,15,18,5,0,37,21,18,4,0,35,33,36,11,0,86,110,187,77,7,382,15,14,12,0,41,0,0,0,0,0,222,284,110,17,625
801051060,6,0,0,0,6,0,0,0,0,0,5,3,3,0,12,6,0,0,0,9,10,7,0,0,21,9,11,0,0,20,20,9,7,0,33,61,56,22,5,139,3,6,0,0,14,0,0,0,0,0,121,90,31,0,249
801051061,0,0,0,0,0,0,0,0,0,4,16,6,5,0,29,20,9,3,0,35,28,24,3,0,57,30,34,12,0,83,76,84,21,4,180,114,197,45,3,360,6,18,8,8,34,0,0,0,0,0,293,381,96,16,788
801051123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051124,5,0,0,0,5,0,0,0,0,0,7,0,0,0,11,8,4,0,0,8,9,3,0,0,18,12,3,0,0,18,26,25,5,0,58,115,124,50,8,305,11,16,6,0,29,0,0,0,0,0,203,179,71,16,465
801051125,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,3,0,0,0,8,3,8,0,0,8,3,6,0,0,8,3,7,0,0,19,6,7,0,0,18,0,5,0,0,5,0,0,0,0,0,24,33,8,0,63
801051126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801051127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,3,3,4,0,0,8,9,3,0,0,15,26,25,9,0,57,6,0,0,0,8,0,0,0,0,0,54,41,8,3,104
801051128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
