SA2_CODE_2021,C11_CFC_SMS_MRM_NDC_UR_1,C11_CFC_SMS_MRM_NDC_UR_2,C11_CFC_SMS_MRM_NDC_UR_3,C11_CFC_SMS_MRM_NDC_UR_4mo,C11_CFC_SMS_MRM_NDC_UR_Total,C11_CFC_SMS_M_DfM_NDC_UR_1,C11_CFC_SMS_M_DfM_NDC_UR_2,C11_CFC_SMS_M_DfM_NDC_UR_3,C11_CFC_SMS_M_DfM_NDC_UR_4mo,C11_CFC_SMS_M_DfM_NDC_UR_Tot,C11_CFC_SMS_Tot_NDC_UR_1,C11_CFC_SMS_Tot_NDC_UR_2,C11_CFC_SMS_Tot_NDC_UR_3,C11_CFC_SMS_Tot_NDC_UR_4mo,C11_CFC_SMS_Tot_NDC_UR_Tot,C11_1PF_NDC_UR_1,C11_1PF_NDC_UR_2,C11_1PF_NDC_UR_3,C11_1PF_NDC_UR_4mo,C11_1PF_NDC_UR_Tot,C11_Tot_NDC_UR_1,C11_Tot_NDC_UR_2,C11_Tot_NDC_UR_3,C11_Tot_NDC_UR_4mo,C11_Tot_NDC_UR_Tot,C16_CFC_SMS_MRM_NDC_UR_1,C16_CFC_SMS_MRM_NDC_UR_2,C16_CFC_SMS_MRM_NDC_UR_3,C16_CFC_SMS_MRM_NDC_UR_4mo,C16_CFC_SMS_MRM_NDC_UR_Tot,C16_CFC_SMS_M_DfM_NDC_UR_1,C16_CFC_SMS_M_DfM_NDC_UR_2,C16_CFC_SMS_M_DfM_NDC_UR_3,C16_CFC_SMS_M_DfM_NDC_UR_4mo,C16_CFC_SMS_M_DfM_NDC_UR_Tot,C16_CFC_SMS_Tot_NDC_UR_1,C16_CFC_SMS_Tot_NDC_UR_2,C16_CFC_SMS_Tot_NDC_UR_3,C16_CFC_SMS_Tot_NDC_UR_4mo,C16_CFC_SMS_Tot_NDC_UR_Tot,C16_1PF_NDC_UR_1,C16_1PF_NDC_UR_2,C16_1PF_NDC_UR_3,C16_1PF_NDC_UR_4mo,C16_1PF_NDC_UR_Tot,C16_Tot_NDC_UR_1,C16_Tot_NDC_UR_2,C16_Tot_NDC_UR_3,C16_Tot_NDC_UR_4mo,C16_Tot_NDC_UR_Tot,C21_CFC_SMS_MRM_NDC_UR_1,C21_CFC_SMS_MRM_NDC_UR_2,C21_CFC_SMS_MRM_NDC_UR_3,C21_CFC_SMS_MRM_NDC_UR_4mo,C21_CFC_SMS_MRM_NDC_UR_Tot,C21_CFC_SMS_M_DfM_NDC_UR_1,C21_CFC_SMS_M_DfM_NDC_UR_2,C21_CFC_SMS_M_DfM_NDC_UR_3,C21_CFC_SMS_M_DfM_NDC_UR_4mo,C21_CFC_SMS_M_DfM_NDC_UR_Tot,C21_CFC_SMS_Tot_NDC_UR_1,C21_CFC_SMS_Tot_NDC_UR_2,C21_CFC_SMS_Tot_NDC_UR_3,C21_CFC_SMS_Tot_NDC_UR_4mo,C21_CFC_SMS_Tot_NDC_UR_Tot,C21_1PF_NDC_UR_1,C21_1PF_NDC_UR_2,C21_1PF_NDC_UR_3,C21_1PF_NDC_UR_4mo,C21_1PF_NDC_UR_Tot,C21_Tot_NDC_UR_1,C21_Tot_NDC_UR_2,C21_Tot_NDC_UR_3,C21_Tot_NDC_UR_4mo,C21_Tot_NDC_UR_Tot
801081095,90,124,36,8,264,18,15,9,3,48,105,142,46,13,310,41,45,5,0,90,148,183,58,12,402,84,114,44,9,249,23,30,13,0,65,100,143,58,14,319,40,35,7,3,97,144,177,66,21,408,79,137,58,13,288,33,30,3,5,68,105,173,64,13,352,47,37,17,0,100,154,203,78,14,449
801081096,61,86,28,13,184,10,7,0,0,22,73,94,26,14,209,30,18,6,5,60,107,113,35,14,267,55,90,27,8,179,3,15,6,0,18,62,100,28,9,195,24,18,6,3,55,84,121,39,12,254,63,81,31,5,184,12,10,6,0,28,77,94,35,5,211,27,23,7,3,60,104,116,43,8,269
801081097,80,101,35,9,222,16,14,0,0,31,94,111,36,7,250,29,31,10,0,72,121,142,45,11,321,85,117,37,9,248,23,22,0,3,46,102,140,37,12,293,28,19,0,6,55,133,163,38,12,348,80,123,46,12,259,27,18,5,0,55,106,144,53,12,312,31,29,10,4,74,141,175,57,12,383
801081098,89,124,55,8,271,24,17,0,0,41,108,142,48,7,316,40,31,8,0,81,153,171,59,11,390,99,171,46,16,338,20,23,5,0,43,119,191,48,17,379,31,37,4,3,79,152,225,58,14,452,127,187,55,14,385,20,18,11,0,53,153,212,62,14,440,50,39,13,5,99,194,248,75,16,537
801081133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
801091099,85,94,35,11,220,11,13,0,0,28,87,114,37,11,245,36,29,9,3,72,126,138,42,11,318,84,81,36,7,209,11,12,0,5,32,94,102,37,12,242,37,16,7,0,61,131,115,41,13,297,83,102,28,5,221,14,12,3,0,33,98,110,33,6,254,24,21,6,0,58,128,134,38,5,314
801091100,144,259,84,18,503,22,24,3,0,52,169,282,87,16,555,57,47,19,3,125,224,328,108,21,675,166,271,96,15,538,29,25,11,0,66,191,299,105,16,611,63,33,9,3,113,254,330,112,19,721,158,316,94,16,584,22,32,10,3,64,190,346,98,19,646,52,41,10,4,113,241,393,107,21,763
801091101,111,159,60,12,343,29,17,4,4,53,140,175,67,15,392,43,23,6,0,73,188,193,71,15,465,116,151,52,16,332,25,15,0,3,43,142,163,57,14,375,38,28,9,3,70,177,190,57,18,450,124,167,53,12,359,30,26,6,5,64,151,190,59,15,422,35,33,6,5,75,180,231,67,18,494
801091102,109,143,61,5,314,13,13,0,5,31,122,156,60,13,350,29,14,8,0,47,151,164,66,13,395,116,181,66,22,376,13,15,0,0,33,129,193,69,22,409,33,12,3,0,50,165,207,74,22,458,111,216,65,17,408,10,12,7,0,29,118,230,65,17,430,37,26,8,3,79,160,252,74,22,504
801091103,88,142,52,5,289,13,16,5,0,27,100,154,57,10,314,28,22,10,0,56,127,173,66,10,379,100,115,65,6,291,9,19,4,0,35,112,133,67,12,322,35,23,9,0,61,141,155,78,12,386,102,145,68,8,324,20,21,0,0,43,124,163,66,13,368,43,16,4,0,66,165,178,72,12,434
801091104,69,107,33,10,217,5,12,0,0,16,71,114,33,10,236,27,11,8,0,51,102,129,38,13,282,92,113,25,4,233,15,4,5,0,22,107,110,30,6,253,16,15,0,3,43,123,127,33,6,295,77,98,23,10,203,10,12,0,0,25,83,108,25,10,233,26,14,0,0,44,115,127,27,14,274
801091105,75,95,18,7,191,9,9,8,0,28,88,101,25,7,225,28,28,8,3,70,114,127,36,12,295,78,102,32,10,225,11,12,0,0,26,93,120,41,10,252,34,16,9,10,66,122,133,41,20,320,118,118,34,11,279,19,13,0,3,38,138,133,33,11,318,33,33,3,3,71,174,163,41,15,390
801091106,85,88,33,9,219,12,16,6,0,35,100,102,35,9,251,43,23,4,0,70,143,122,42,9,320,124,125,43,4,295,14,12,3,3,37,144,133,47,9,331,35,24,9,0,65,176,156,51,9,393,113,133,39,8,292,14,15,3,0,33,124,151,45,9,329,40,33,11,0,84,166,184,57,7,415
801091107,34,53,17,7,112,0,0,0,0,3,34,57,17,7,115,3,0,0,0,3,41,57,17,7,118,31,44,14,14,102,0,3,0,0,3,33,46,14,14,108,5,6,0,0,13,39,51,14,11,118,25,35,16,0,82,0,0,4,0,5,24,38,20,0,90,6,6,3,0,15,33,44,23,9,101
801091108,72,111,38,10,237,13,16,4,0,36,89,129,40,12,268,42,16,5,0,59,127,142,47,14,326,86,122,45,5,262,13,9,0,0,27,92,136,46,6,287,28,11,9,0,54,121,146,56,11,336,84,117,48,7,253,15,10,0,0,28,101,125,46,9,285,28,28,9,0,69,126,155,53,11,351
801091109,64,38,5,0,107,11,0,0,0,12,73,43,5,0,124,33,7,0,0,42,100,53,6,0,161,118,83,15,4,217,6,10,0,0,16,120,89,15,4,227,32,13,0,0,48,152,105,13,4,276,190,118,18,3,322,28,5,4,0,38,215,122,22,3,359,86,34,4,3,124,302,152,24,4,484
801091110,90,105,36,14,236,6,17,7,3,30,95,114,38,15,268,27,18,0,3,55,120,139,41,24,322,71,111,39,13,228,21,13,12,0,37,89,120,44,12,272,25,15,0,3,49,116,141,45,14,319,75,132,39,10,249,15,18,8,4,44,93,152,46,12,299,32,18,4,0,59,119,169,50,15,351
