SA2_CODE_2021,Med_age_persns_C2011,Med_age_persns_C2016,Med_age_persns_C2021,Med_mortg_rep_mon_C2011,Med_mortg_rep_mon_C2016,Med_mortg_rep_mon_C2021,Med_person_inc_we_C2011,Med_person_inc_we_C2016,Med_person_inc_we_C2021,Med_rent_weekly_C2011,Med_rent_weekly_C2016,Med_rent_weekly_C2021,Med_Famly_inc_we_C2011,Med_Famly_inc_we_C2016,Med_Famly_inc_we_C2021,Avg_num_p_per_brm_C2011,Avg_num_p_per_brm_C2016,Avg_num_p_per_brm_C2021,Med_tot_hh_inc_wee_C2011,Med_tot_hh_inc_wee_C2016,Med_tot_hh_inc_wee_C2021,Average_hh_size_C2011,Average_hh_size_C2016,Average_hh_size_C2021
801071087,33,35,36,1848,1900,2000,779,863,1012,320,330,391,1816,2061,2327,0.8,0.8,0.8,1657,1840,2043,2.8,2.7,2.6
801071088,31,33,36,2167,2045,2002,907,982,1195,360,370,430,2226,2382,2880,0.8,0.8,0.8,1979,2123,2588,2.9,2.8,2.8
801071089,48,49,58,1508,1200,1798,825,774,1208,200,180,320,1375,3250,2750,0.9,0.9,1.1,1812,2249,1958,2.5,2.3,2.3
801071090,37,39,39,2000,2000,2100,865,927,1127,350,360,400,2166,2294,2700,0.8,0.8,0.8,1901,1961,2295,2.7,2.6,2.6
801071132,29,23,42,0,0,0,799,537,1042,85,0,546,799,1375,2124,0.8,0.6,1.1,1549,1375,3750,2.5,4,5
801081091,44,45,47,2288,2500,2600,1027,1188,1378,453,455,450,2825,3192,3490,0.7,0.7,0.7,2592,2697,3111,2.8,2.8,2.7
801081092,38,40,39,2167,2210,2476,970,1074,1251,374,390,445,2312,2573,3099,0.7,0.7,0.7,1962,2125,2593,2.7,2.7,2.7
801081093,39,39,40,2167,2167,2354,889,976,1206,330,350,415,2081,2548,3057,0.7,0.7,0.8,1645,1929,2275,2.5,2.5,2.5
801081094,39,41,41,2000,2008,2167,916,1073,1273,380,400,465,2164,2493,2915,0.7,0.7,0.7,1781,2039,2338,2.5,2.5,2.5
801081095,38,39,39,2000,2043,2140,832,908,1113,325,321,322,2065,2246,2765,0.7,0.7,0.7,1688,1807,2207,2.5,2.5,2.5
801081096,40,45,46,2167,2000,2258,836,881,1020,325,331,460,2147,2303,2759,0.7,0.7,0.7,1772,1963,2206,2.6,2.6,2.6
801081097,39,40,38,2000,2137,2175,905,991,1179,300,310,379,2183,2503,2920,0.8,0.8,0.8,1682,1875,2247,2.4,2.4,2.5
801081098,43,43,42,2167,2167,2200,895,1052,1242,361,380,420,2292,2550,3082,0.7,0.7,0.8,1771,2096,2361,2.4,2.5,2.5
801081133,46,65,70,5460,2600,2000,900,1375,1812,358,0,245,132500,2750,3750,0.8,0.5,0.8,900,2750,2324,2.2,2,1.5
801091099,36,37,37,2072,2000,2383,863,971,1191,365,363,450,2069,2386,2940,0.8,0.8,0.8,1617,1843,2347,2.4,2.3,2.4
801091100,41,42,41,2151,2299,2600,1002,1071,1341,380,400,450,2585,2867,3673,0.8,0.8,0.8,2002,2255,2886,2.5,2.6,2.6
801091101,43,43,43,2200,2383,2600,930,1028,1223,380,383,450,2507,2619,3226,0.8,0.8,0.8,2022,2265,2540,2.6,2.7,2.6
801091102,41,43,41,2271,2318,2600,1065,1179,1349,451,480,550,2725,2925,3513,0.8,0.8,0.8,2391,2297,2985,2.5,2.6,2.7
801091103,42,44,43,2200,2500,2700,1007,1132,1298,310,340,400,2674,3058,3669,0.8,0.8,0.8,1876,2274,2797,2.4,2.5,2.6
801091104,47,49,49,2300,2120,2300,909,1042,1307,438,462,520,2404,2603,3148,0.7,0.7,0.7,2031,2232,2670,2.6,2.6,2.5
801091105,37,37,36,2000,2000,2383,772,846,1097,300,315,360,1882,2052,2629,0.8,0.9,0.9,1392,1488,2062,2.2,2.2,2.3
801091106,40,38,38,2167,2080,2167,893,954,1158,323,320,400,2154,2369,2653,0.8,0.9,0.9,1563,1777,2204,2.2,2.3,2.4
801091107,45,46,51,3825,2600,3413,1110,1310,1497,975,952,975,3018,3819,4567,0.7,0.6,0.6,2908,3513,4476,3.1,3,2.9
801091108,41,42,43,2250,2147,2383,927,1044,1222,380,380,430,2406,2683,3302,0.7,0.8,0.8,1769,2030,2362,2.4,2.4,2.5
801091109,32,32,32,2047,1745,1608,1078,1145,1342,380,360,440,2033,2165,2473,0.9,1.1,1.1,1591,1772,2075,1.8,1.9,1.9
801091110,39,41,39,2100,2167,2470,918,988,1286,370,380,478,2274,2620,3322,0.8,0.8,0.8,1848,2217,2612,2.7,2.7,2.7
801101134,0,46,65,0,0,0,0,79500,1624,0,0,0,0,0,0,0,0,1,0,0,1125,0,0,1
801101135,0,30,30,0,2167,2000,0,1280,1358,0,425,480,0,2629,2913,0,0.8,0.9,0,2315,2634,0,2.7,2.7
801101136,0,0,31,0,0,2400,0,0,1655,0,0,498,0,0,3606,0,0,0.9,0,0,3219,0,0,2.8
801101137,52,75,0,0,0,0,1125,725,0,130,0,0,0,1375,0,0.5,0.6,0,1125,1375,0,1,2,0
801101139,60,30,32,2000,1950,1950,749,1366,1446,180,400,461,1250,2780,3150,0.6,0.9,1,700,2323,2559,1.8,2.3,2.5
801101145,70,0,57,9999,0,0,250,0,0,0,0,0,500,0,0,0.6,0,0,500,0,0,2,0,0
801101146,0,19,27,0,0,2750,0,75,75,0,386,0,0,2750,900,0,0.7,1.5,0,1574,900,0,2.5,6
801111140,30,34,35,2871,2600,2292,908,1083,1358,193,395,385,2267,2905,3109,0.9,0.9,0.9,1897,2767,3134,2.8,3.1,3.1
801111141,39,35,27,1676,1517,4333,833,1208,1270,108,300,400,2749,2374,2687,0.7,0.8,1.3,1062,1937,2812,2.3,2.2,3.3
897979799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
899999499,31,36,35,0,0,0,498,447,537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
