sal_code,sal_name,state,latitude,longitude,area_km2,sa2_mappings,police_district,police_mapping_confidence,classification_type,economic_base,last_updated,data_source
50086,Beaconsfield (WA),WA,-32.06935955908264,115.76857737426994,2.611202307274445e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50087,Beadell,WA,-27.94550358847772,127.52553654330845,6.714704604114898e-06,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50088,Beaufort River,WA,-33.565201081205586,117.04940139454848,1.6748118888638766e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50089,Beaumont (WA),WA,-33.38966264885855,122.78971127804223,1.6987237640196347e-07,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50090,Beckenham,WA,-32.02428913166321,115.96055875441755,5.579863200025694e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50091,Bedford,WA,-31.909541465575842,115.8914423694197,2.1399332950444281e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50092,Bedfordale,WA,-32.179948281277404,116.06680810628129,5.188905505728774e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50093,Beechboro,WA,-31.868009240527055,115.93782926123201,4.668414763549428e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50094,Beechina,WA,-31.860389850251963,116.3121764069621,9.128175458032236e-10,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50095,Beedelup,WA,-34.36299057396284,115.90878804440909,1.588152016362258e-08,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50096,Beela,WA,-33.24457941674412,115.9036999894546,2.1721995947136673e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50097,Beelerup,WA,-33.54593676300083,115.85876285450625,2.6409283613514543e-09,[],,0.0,Remote,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
50098,Beeliar,WA,-32.14083905962579,115.8218975847733,1.0913756000523083e-09,[],,0.0,Urban,['Mixed'],2025-09-15T00:00:00.000Z,ABS_SAL_2021
